itemId,itemName,icon,rarity,slot,type,location
25,Worn Shortsword,inv_sword_04,common,Main Hand,Sword,
35,Bent Staff,inv_staff_08,common,Two-hand,Staff,
36,Worn Mace,inv_mace_03,common,Main Hand,Mace,
37,Worn Axe,inv_axe_11,common,Main Hand,Axe,
38,Recruit's Shirt,inv_shirt_05,common,Shirt,Shirt,
39,Recruit's Pants,inv_pants_02,poor,Legs,Cloth,
40,Recruit's Boots,inv_boots_06,common,Feet,Feet,
43,Squire's Boots,inv_boots_01,common,Feet,Feet,
44,Squire's Pants,inv_pants_02,poor,Legs,Cloth,
45,Squire's Shirt,inv_shirt_01,common,Shirt,Shirt,
47,Footpad's Shoes,inv_boots_05,common,Feet,Feet,
48,Footpad's Pants,inv_pants_02,poor,Legs,Cloth,
49,Footpad's Shirt,inv_shirt_05,common,Shirt,Shirt,
51,Neophyte's Boots,inv_boots_04,common,Feet,Feet,
52,Neophyte's Pants,inv_pants_02,poor,Legs,Cloth,
53,Neophyte's Shirt,inv_shirt_01,common,Shirt,Shirt,
55,Apprentice's Boots,inv_boots_09,common,Feet,Feet,
56,Apprentice's Robe,inv_chest_cloth_23,poor,Chest,Cloth,
57,Acolyte's Robe,inv_chest_cloth_24,poor,Chest,Cloth,
59,Acolyte's Shoes,inv_boots_01,common,Feet,Feet,
60,Layered Tunic,inv_chest_leather_09,common,Chest,Leather,
61,Dwarven Leather Pants,inv_pants_wolf,common,Legs,Leather,
79,Dwarven Cloth Britches,inv_pants_09,common,Legs,Cloth,
80,Soft Fur-lined Shoes,inv_boots_09,common,Feet,Cloth,
85,Dirty Leather Vest,inv_shirt_07,common,Chest,Leather,
120,Thug Pants,inv_pants_02,poor,Legs,Cloth,
121,Thug Boots,inv_boots_05,common,Feet,Feet,
127,Trapper's Shirt,inv_shirt_07,common,Shirt,Shirt,
128,Deprecated Tauren Trapper's Pants,inv_pants_02,poor,Legs,Cloth,
129,Rugged Trapper's Boots,inv_boots_06,common,Feet,Feet,
139,Brawler's Pants,inv_pants_02,poor,Legs,Cloth,
140,Brawler's Boots,inv_boots_04,common,Feet,Feet,
147,Rugged Trapper's Pants,inv_pants_02,poor,Legs,Cloth,
148,Rugged Trapper's Shirt,inv_shirt_01,common,Shirt,Shirt,
153,Primitive Kilt,inv_pants_02,poor,Legs,Leather,
